!!Tags				
Tag	Implies	Max Per Row	Self Synergy	Notes
Translate any text in 3 different [OPC] module(s)		 ElectricCore 	5.5	5.5
Eat a marshmallow at 2 different fire(s)		LitFire | UnlitFire	1	1.5
Eat a marshmallow at 3 different fire(s)		LitFire | UnlitFire	2	2.5
Eat a marshmallow at 4 different fire(s)		LitFire | UnlitFire	3	3.5
Eat a marshmallow at 5 different fire(s)		LitFire | UnlitFire	4.5	4.5
Use oxygen as a propellant		Misc	2	1.5
Enter black hole forge		HangingCity & AT & Warp	8	8.5
Talk to 2 Hearthian traveler(s) outside of [TH]		PlanetHopping & ((AR) | (GD) | (ET) | (DB) | (BH))	3	3.5
Talk to 3 Hearthian traveler(s) outside of [TH]		PlanetHopping & ((AR & GD) | (AR & ET) | (AR & DB) | (AR & BH) | (GD & ET) | (GD & DB) | (GD & BH) | (ET & DB) | (ET & BH) | (DB & BH))	4	4.5
Talk to 4 Hearthian traveler(s) outside of [TH]		PlanetHopping & ((AR & GD & ET) | (AR & GD & DB) | (AR & GD & BH) | (AR & ET & DB) | (AR & ET & BH) | (AR & DB & BH) | (GD & ET & DB) | (GD & ET & BH) | (GD & DB & BH) | (ET & DB & BH))	5	5.5
Talk to 5 Hearthian traveler(s) outside of [TH]		PlanetHopping & ((AR & GD & ET & DB) | (AR & GD & ET & BH) | (AR & GD & DB & BH) | (AR & ET & DB & BH) | (GD & ET & DB & BH))	6	6.5
Aggro an anglerfish (and survive)		DB	2.5	3.5
Touch a living or dead Jellyfish		GD | DB	3	3.5
Translate any text inside [TI]		TranslateSecondary & (ShitCreek | End)	7	7.5
Raise the black hole forge		HangingCity	3	3.5
Enter the museum		TH & Misc	1	2.5
Touch 1 distress beacon(s)		PlanetHopping & ((BH) | (ET) | (DB))	2	2
Touch 2 distress beacon(s)		PlanetHopping & ((BH & ET) | (BH & DB) | (ET & DB))	4	4
Touch 3 distress beacon(s)		PlanetHopping & ((BH & ET & DB))	7	7
Fully repair the satellite in the zero g cave		TH & Misc	2.5	3.5
Touch 1 explorer ship(s)		((AR) | (GD) | (ET) | (DB))	1.5	1.5
Touch 2 explorer ship(s)		((AR & GD) | (AR & ET) | (AR & DB) | (GD & ET) | (GD & DB) | (ET & DB))	3	3
Touch 3 explorer ship(s)		((AR & GD & ET) | (AR & GD & DB) | (AR & ET & DB) | (GD & ET & DB))	4.5	5
Touch 4 explorer ship(s)		((AR & GD & ET & DB))	6	7
Touch 1 anglerfish skeleton(s)		((DB) | (SunlessCity))	3.5	3
Touch 2 anglerfish skeleton(s)		((DB & SunlessCity))	7	6.5
Translate any text on 2 moon(s)		((AR) | ( QM) | ( HL))	5	5
Translate any text on 3 moon(s)		((AR &  QM) | (AR &  HL) | ( QM &  HL))	6.5	6.5
Use 2 different projection pool(s)		PlanetHopping	3	3
Use 3 different projection pool(s)		PlanetHopping	4.5	4.5
Use 4 different projection pool(s)		PlanetHopping	6	6
Translate any text inside Mine 2b		TH	2	2.5
Use a storm shelter on Giants Deep		GD & Tornado	4	3
Touch the red anglerfish eggs		DB	3	4
Translate any text inside statue island	Text on the outside does not count	GD & Tornado	3.5	3
Touch a dead Nomai on 1 primary location(s)	QM only counts as 1	((AT) | ( QM) | ( TI) | ( DB))	2	2
Touch a dead Nomai on 2 primary location(s)	QM only counts as 1	((AT &  QM) | (AT &  TI) | (AT &  DB) | ( QM &  TI) | ( QM &  DB) | ( TI &  DB))	3.5	3.5
Touch a dead Nomai on 3 primary location(s)	QM only counts as 1	((AT &  QM &  TI) | (AT &  QM &  DB) | (AT &  TI &  DB) | ( QM &  TI &  DB))	5	5
Touch a dead Nomai on 4 primary location(s)	QM only counts as 1	((AT &  QM &  TI &  DB))	6.5	6.5
Shoot scout through 2 impassable bramble seed(s)		TH & DB	3.5	3.5
Puncture your suit		Misc	1.5	1
Touch the quantum cave shard on Ember Twin		QShard &ET	3.5	3
Touch the grove shard on Timber Hearth		QShard & TH	1.5	1.5
Find both kids in hide and go seek		TH	1	1.5
Hold an advanced warp core	(Broken or functional…)	ATP | Vessel	4.5	4
Enter 1 Nomai ship(s)		((BH) | (QM) | (ET))	2	2.5
Enter 2 Nomai ship(s)		((BH & QM) | (BH & ET) | (QM & ET))	4	4.5
Destroy fabric of spacetime	If doing the [ATP] method, you may not "set up" your file before the timer starts	HighNrg | End	7	7
"You died" game ending	(Remove the warp core from [APT] and then die)	ATP	4.5	5.5
Set foot on The Eye		Eye	10	11
Isolation Ending	(Remove the warp core from [APT] and then outrun the supernova)	ATP & Late	10	10
QM Ending	(Remove the warp core from [APT] and then await the supernova at the 6th [QM] location)	ATP & Late & QM	10	10
Touch the Sun Station with your ship		SS & Sun	7	4
Refuel your jetpack at 3 different canister(s)	Refueling via the canister in your ship counts as 1	JetFuel	2.5	2.5
Refuel your jetpack at 4 different canister(s)	Refueling via the canister in your ship counts as 1	JetFuel	3.5	3.5
Refuel your jetpack at 5 different canister(s)	Refueling via the canister in your ship counts as 1	JetFuel	5	5
Ride 3 elevators on TH		TH	2	3.5
Take a picture of ghost matter on 2 different primary location(s)		((TH) | (TI) | (GD) | (BH) | (ET))	3	3
Take a picture of ghost matter on 3 different primary location(s)		((TH & TI) | (TH & GD) | (TH & BH) | (TH & ET) | (TI & GD) | (TI & BH) | (TI & ET) | (GD & BH) | (GD & ET) | (BH & ET))	4	4
Take a picture of ghost matter on 4 different primary location(s)		((TH & TI & GD) | (TH & TI & BH) | (TH & TI & ET) | (TH & GD & BH) | (TH & GD & ET) | (TH & BH & ET) | (TI & GD & BH) | (TI & GD & ET) | (TI & BH & ET) | (GD & BH & ET))	5	5
Translate any text at Eye Signal Locator ([AR])		AR & TranslateSecondary	2	2
Translate any text at the Construction Yard		GD & TranslateSecondary	2.5	3.5
Translate any text at Quantum Moon Locator ([ET])		ET & TranslateSecondary	2	3
Touch or stand on SS as it begins getting engulfed by the Sun		SS	6.5	6.5
Use any projection stone at the location that it projects	For example, use the [GD] projection stone at the [GD] projection pool	PlanetHopping	4.5	3.5
Shoot your scout through a black hole and then touch it without going through the same black hole		(BH & WHS) | (AT)	4	4
				
!!Eof	
